,1,2,3,4,5,6,7,8,9,10,11,12
A,DM01,DM01,DM02,DM02,DM03,DM03,DM04,DM04,DM05,DM05,DM06,DM06
B,DM07,DM07,DM08,DM08,DM09,DM09,DM10,DM10,DM11,DM11,DM12,DM12
C,DM13,DM13,DM14,DM14,DM15,DM15,DM16,DM16,DM18,DM18,DM19,DM19
D,DM20,DM20,DM21,DM21,DM22,DM22,DM23,DM23,DM24,DM24,DM25,DM25
E,DM26,DM26,DM27,DM27,DM28,DM28,DM29,DM29,DM30,DM30,STD_0,STD_1.5625
F,STD_3.125,STD_6.25,STD_12.5,STD_25,STD_50,STD_100,STD_0,STD_1.5625,STD_3.125,STD_6.25,STD_12.5,STD_25
G,STD_50,STD_100,,,,,,,,,,
H,,,,,,,,,,,,
