,m/z,m/z,time,time,Intens.,Intens.,SN,SN,Quality Fac.,Quality Fac.,Res.,Res.,Area,Area,Rel. Intens.,Rel. Intens.,FWHM,FWHM,Chi^2,Chi^2,Bk. Peak,Bk. Peak
level_1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
level_0,,,,,,,,,,,,,,,,,,,,,,
DM05_0_A10_1,2792.813450080669,2820.969057986274,29946.43731804345,30094.75181732292,2500.0,5050.0,1.845809813512273,9.968010028277238,,,536.9578342455986,542.0234237081373,3356.582448595169,19262.31330953705,0.49504950495049505,1.0,5.201178327166872,5.204515034954057,,,0.0,0.0
DM05_0_A9_1,2792.312277121913,2820.614650403726,29943.790440878514,30092.889599034686,2779.0,5648.0,1.707175809908831,8.960618828980932,,,530.2562294877206,523.3808534971181,3947.338717337933,22479.87549558103,0.4920325779036827,1.0,5.26596788842926,5.389220166456199,,,0.0,0.0
DM06_0_A11_1,2790.926849303134,2820.518283755428,29936.472235745183,30092.383224375822,2526.0,6206.0,1.277979672054983,11.9241940312227,,,326.6909918017794,552.5794436293012,2947.160489798635,25862.45309919151,0.4070254592330003,1.0,8.543017467088704,5.104276527607453,,,0.0,0.0
DM06_0_A12_1,2791.210666471332,2820.553972928112,29937.971585165335,30092.570760122922,3177.0,9236.0,1.438024976369304,13.72715520460853,,,420.0255929124647,523.0642058117277,4983.37502404532,42995.36279560217,0.343980077955825,1.0,6.645334745240235,5.392366637956002,,,0.0,0.0
DM07_0_B1_1,2791.741907606087,2820.126414320889,29940.777817910246,30090.323990407043,3668.0,11721.0,3.229602031329002,21.6880726901597,,,547.1918376717575,536.8854486438909,9639.602626059752,59140.53226103749,0.312942581690982,1.0,5.101943624533305,5.252752559124474,,,0.0,0.0
DM07_0_B2_1,2791.731261290206,2820.153914544076,29940.72158238264,30090.468506021032,3784.0,12777.0,3.236714301943373,22.66780356587979,,,531.8472305880906,538.4582198121052,10532.24556127787,64453.17511620617,0.29615715739218906,1.0,5.249122493696633,5.237460977990396,,,0.0,0.0
DM08_0_B3_1,2791.452606188514,2820.10352215613,29939.249643243747,30090.203689919414,3045.0,8464.0,1.850712015171013,15.25847726946476,,,474.5592923445244,533.6447232247384,4163.82377856109,41803.62734238017,0.35975897920604916,1.0,5.882199866738575,5.284608653327723,,,0.0,0.0
DM08_0_B4_1,2791.661430441978,2820.179486377437,29940.352722076168,30090.60288716808,3600.0,10685.0,1.803878440645225,14.83853295565942,,,528.0032891750441,520.7651338890838,5591.254622344023,55797.55559884903,0.33692091717360784,1.0,5.287204621023648,5.41545372923929,,,0.0,0.0
DM09_0_B5_1,2791.0,2820.153337914846,0.0,30090.46547580108,0.0,8805.0,0.0,8.210336625556803,0,,0.0,525.7823069738766,0.0,34035.35397195256,0.0,1.0,0.0,5.36372810668763,0,,0.0,0.0
DM09_0_B6_1,2791.0,2820.227048905087,0.0,30090.852828767347,0.0,8769.0,0.0,8.632678639964602,0,,0.0,547.4269985882071,0.0,34273.28014499944,0.0,1.0,0.0,5.151786550861289,0,,0.0,0.0
DM10_0_B7_1,2791.0,2822.101175668905,0.0,30100.699681438316,0.0,6572.0,0.0,4.880981742155227,0,,0.0,394.9614712943244,0.0,24098.772263779,0.0,1.0,0.0,7.145256894098112,0,,0.0,0.0
DM10_0_B8_1,2790.863264849703,2820.4905756162,29936.13632115887,30092.237625700836,2033.0,3377.0,1.231819014863709,7.502897635988043,,,366.4130855718645,542.830002585143,1235.120242660047,9854.805518321202,0.6020136215575955,1.0,7.616712870649734,5.195900304301632,,,0.0,0.0
DM11_0_B10_1,2791.0,2820.672026961666,0.0,30093.19108957374,0.0,7116.0,0.0,9.162434056049449,0,,0.0,526.4752944766493,0.0,26331.23881395425,0.0,1.0,0.0,5.3576531635080755,0,,0.0,0.0
DM11_0_B9_1,2791.0,2820.778458621257,0.0,30093.75033652574,0.0,4707.750335454769,0.0,6.304462848898818,0,,0.0,543.9219603514258,0.0,13425.49481038096,0.0,1.0,0.0,5.185998478161763,0,,0.0,0.0
DM12_0_B11_1,2791.0,2821.3859012384,0.0,30096.941948874643,0.0,8856.0,0.0,5.77597073476657,0,,0.0,513.6655961195155,0.0,34468.40698195354,0.0,1.0,0.0,5.492651099377781,0,,0.0,0.0
DM12_0_B12_1,2791.0,2821.145114915678,0.0,30095.67685615333,0.0,12052.0,0.0,11.32449640082372,0,,0.0,506.8561000311202,0.0,55159.63655267993,0.0,1.0,0.0,5.565968555458766,0,,0.0,0.0
DM13_0_C1_1,2791.0,2820.424684260319,0.0,30091.891381772606,0.0,6316.0,0.0,8.431417754852683,0,,0.0,533.5660604907357,0.0,24059.24115643494,0.0,1.0,0.0,5.285989670456728,0,,0.0,0.0
DM13_0_C2_1,2791.0,2820.407276666547,0.0,30091.799908182806,0.0,7434.0,0.0,11.16341691084373,0,,0.0,535.2531995024867,0.0,30956.9115413777,0.0,1.0,0.0,5.269295502181195,0,,0.0,0.0
DM14_0_C3_1,2791.0,2820.423872645469,0.0,30091.887116897524,0.0,8759.258277635414,0.0,10.30322317871999,0,,0.0,518.1876339366781,0.0,35419.04746348612,0.0,1.0,0.0,5.442862175653773,0,,0.0,0.0
DM14_0_C4_1,2791.0,2820.525267369064,0.0,30092.41992123618,0.0,10348.23924626944,0.0,9.524486891886173,0,,0.0,503.7076897296752,0.0,44105.87643086472,0.0,1.0,0.0,5.59952791048863,0,,0.0,0.0
DM15_0_C6_1,2792.479676957357,2821.027977805464,29944.67456729037,30095.06139727298,3319.0,7619.0,1.104984885276778,8.39805473437907,,,299.1838986347852,517.2968619925443,4326.74236139746,32084.67055982482,0.435621472634204,1.0,9.333656288656584,5.453402456259483,,,0.0,0.0
DM15_0_C7_1,2792.286076895942,2820.678630507187,29943.652061294473,30093.225788327043,3883.0,9622.0,1.193425136068123,9.356794451795128,,,563.0610756615438,526.4035659483055,4224.901953006432,43787.11798036008,0.40355435460403244,1.0,4.959117576393056,5.358395749895407,,,0.0,0.0
DM16_0_C10_1,2791.0,2820.908380442032,0.0,30094.432998398486,0.0,9624.0,0.0,8.901506095980055,0,,0.0,510.2372749598919,0.0,44831.10750345311,0.0,1.0,0.0,5.528620739564302,0,,0.0,0.0
DM16_0_C8_1,2791.0,2820.883432044697,0.0,30094.3019106522,0.0,10275.0,0.0,9.869103878985927,0,,0.0,507.5176173104667,0.0,48099.47912255785,0.0,1.0,0.0,5.558198052303398,0,,0.0,0.0
DM18_0_C11_1,2791.0,2820.913989390534,0.0,30094.462469726248,0.0,8843.0,0.0,5.920151516190937,0,,0.0,502.4084397905291,0.0,30639.64399831679,0.0,1.0,0.0,5.614782248814665,0,,0.0,0.0
DM18_0_C12_1,2791.0,2821.042145184207,0.0,30095.13583585077,0.0,8686.0,0.0,7.481141639125344,0,,0.0,483.7934752338789,0.0,33186.56809733447,0.0,1.0,0.0,5.831087622296764,0,,0.0,0.0
DM19_0_D1_1,2791.0,2820.286296426884,0.0,30091.164172142962,0.0,4420.0,0.0,5.695447048519064,0,,0.0,570.2580580531675,0.0,13734.68094385135,0.0,1.0,0.0,4.9456316427254015,0,,0.0,0.0
DM19_0_D2_1,2791.0,2820.616191242908,0.0,30092.897695560296,0.0,5254.0,0.0,4.596627910299442,0,,0.0,576.4613592859905,0.0,16058.75794926415,0.0,1.0,0.0,4.892983971617014,0,,0.0,0.0
DM20_0_D3_1,2791.0,2820.48996948611,0.0,30092.23444064527,0.0,4118.0,0.0,4.796801508988818,0,,0.0,554.7676038789497,0.0,13174.8014534934,0.0,1.0,0.0,5.084092780049105,0,,0.0,0.0
DM20_0_D4_1,2791.0,2820.465083955359,0.0,30092.103673370373,0.0,3065.0,0.0,5.070724722594902,0,,0.0,557.5192060560432,0.0,8762.27391626573,0.0,1.0,0.0,5.058955912761576,0,,0.0,0.0
DM21_0_D5_1,2791.0,2820.86272053778,0.0,30094.19308458659,0.0,4360.0,0.0,6.959707525536529,0,,0.0,551.9966382720313,0.0,17406.53103129398,0.0,1.0,0.0,5.110289673807074,0,,0.0,0.0
DM21_0_D6_1,2791.0,2820.924186721218,0.0,30094.516049902144,0.0,3642.0,0.0,6.296774852918858,0,,0.0,543.6061236580223,0.0,13192.4605775541,0.0,1.0,0.0,5.1892796345609895,0,,0.0,0.0
DM22_0_D7_1,2792.458588699626,2820.612685757146,29944.563190612324,30092.87927555864,2189.0,3668.0,1.048932166610956,5.190531837009305,,,321.7240091171748,567.2206203572772,2158.695566217356,10467.14770913938,0.596782988004362,1.0,8.679671114264238,4.972690668369068,,,0.0,0.0
DM22_0_D8_1,2791.0,2820.69163862219,0.0,30093.294140180602,0.0,4007.0,0.0,4.695964798499265,0,,0.0,544.1118803992273,0.0,11415.89564218133,0.0,1.0,0.0,5.184028763629613,0,,0.0,0.0
DM23_0_D10_1,2791.0,2820.738659111879,0.0,30093.541210586518,0.0,3228.0,0.0,3.363074464225466,0,,0.0,559.2279528647601,0.0,7017.870760540368,0.0,1.0,0.0,5.043987241092054,0,,0.0,0.0
DM23_0_D9_1,2791.0,2820.713241258371,0.0,30093.407652063204,0.0,4235.0,0.0,4.048694601262392,0,,0.0,539.4849013826716,0.0,11826.65603542803,0.0,1.0,0.0,5.228530463093648,0,,0.0,0.0
DM24_0_D11_1,2791.0,2821.156257394429,0.0,30095.735400010915,0.0,5180.0,0.0,4.058925543912835,0,,0.0,535.786014641968,0.0,16034.44713713318,0.0,1.0,0.0,5.265453334536232,0,,0.0,0.0
DM24_0_D12_1,2791.0,2821.169619923329,0.0,30095.805608110975,0.0,3982.0,0.0,3.866747070920837,0,,0.0,515.4885171462548,0.0,11434.35292428217,0.0,1.0,0.0,5.472807882397319,0,,0.0,0.0
DM25_0_E1_1,2792.411439543133,2820.38379218379,29944.31417293269,30091.676501244387,2240.5,2456.0,2.717677671514969,3.316558009462796,,,602.9287886494891,576.8237925400409,3278.517423935041,4988.911607023095,0.9122557003257329,1.0,4.631411689260858,4.8895066893205685,,,0.0,0.0
DM25_0_E2_1,2792.268835781709,2820.604988708551,29943.56099995617,30092.83883043904,2779.871998990189,3130.0,3.135930338481995,3.941162094440282,,,525.7786050314097,559.5607472406174,5817.07054132044,8668.951706667498,0.8881380188467057,1.0,5.310731188110823,5.0407484846246,,,0.0,0.0
DM26_0_E3_1,2791.0,2820.522412484319,0.0,30092.404919652,0.0,2967.0,0.0,4.368498801626154,0,,0.0,560.816506309224,0.0,9161.966386334216,0.0,1.0,0.0,5.029314188782337,0,,0.0,0.0
DM26_0_E4_1,2791.0,2820.852565447276,0.0,30094.13972576431,0.0,2676.0,0.0,4.56965928823109,0,,0.0,582.7309632883606,0.0,7484.725351921447,0.0,1.0,0.0,4.8407459756886055,0,,0.0,0.0
DM27_0_E5_1,2791.0,2820.974481627637,0.0,30094.780314672913,0.0,2179.0,0.0,2.720662535281664,0,,0.0,555.3125287616314,0.0,4439.140697170917,0.0,1.0,0.0,5.079976293563051,0,,0.0,0.0
DM27_0_E6_1,2791.0,2820.820988760082,0.0,30093.97380886083,0.0,2781.0,0.0,3.958649966839703,0,,0.0,506.0666065725417,0.0,7931.19530093193,0.0,1.0,0.0,5.574011310220158,0,,0.0,0.0
DM28_0_E7_1,2792.603793226415,2820.868275398151,29945.330073088597,30094.222271956998,3449.560504860465,6915.0,1.02062948716065,4.982897420024066,,,365.8238915591207,534.961306905689,4889.733448011759,25553.21108625687,0.4988518445206746,1.0,7.633738139202707,5.273032346422498,,,0.0,0.0
DM28_0_E8_1,2791.0,2821.11391564724,0.0,30095.512931004203,0.0,6083.756465448147,0.0,3.537380380231602,0,,0.0,457.7037672627855,0.0,19611.73262956887,0.0,1.0,0.0,6.16362398002184,0,,0.0,0.0
DM29_0_E10_1,2791.0,2821.223575761067,0.0,30096.089095909272,0.0,12436.0,0.0,6.603681791160329,0,,0.0,496.2976549188461,0.0,62561.43749342823,0.0,1.0,0.0,5.684539404528095,0,,0.0,0.0
DM29_0_E9_1,2791.0,2821.07923277247,0.0,30095.330701438434,0.0,8196.0,0.0,5.498183930922161,0,,0.0,490.9418469866582,0.0,37878.02865523891,0.0,1.0,0.0,5.746259460438978,0,,0.0,0.0
DM30_0_E11_1,2791.0,2820.906404482315,0.0,30094.422616025346,0.0,7723.0,0.0,3.851245805229719,0,,0.0,516.0509498338163,0.0,26707.3816636844,0.0,1.0,0.0,5.466333131235841,0,,0.0,0.0
DM30_0_E12_1,2791.0,2820.953793530536,0.0,30094.671613393723,0.0,8641.0,0.0,4.494058205669372,0,,0.0,514.7190724563741,0.0,33882.89802501347,0.0,1.0,0.0,5.480569779682355,0,,0.0,0.0
STD-0_0_F1_1,2792.488611555122,2820.991627028538,29944.721754834958,30094.870401289052,3765.0,12581.0,2.913034513740603,21.03675524284233,,,516.626733777612,513.552576507645,9343.131632595418,63587.39597329176,0.2992607900802798,1.0,5.405234435191233,5.493092150783014,,,0.0,0.0
STD-0_0_G1_1,2792.756294459836,2820.961733469929,29946.135470553127,30094.713332192463,3720.0,13274.0,3.216282651906885,23.35282554595563,,,499.4989626365174,516.3831595729631,10242.2108174921,68262.2303672452,0.2802470995931897,1.0,5.5911153042616215,5.462923569782561,,,0.0,0.0
STD-1.5625_0_F2_1,2792.76189829847,2821.127447305688,29946.165065412417,30095.584028269244,3294.0,10169.0,2.974441658442109,18.9754482326123,,,535.1670855177014,528.8591680410175,8105.358571829048,49108.17523930949,0.3239256564067263,1.0,5.21848591565913,5.33436426517028,,,0.0,0.0
STD-1.5625_0_G2_1,2792.734957088948,2820.872197220377,29946.02278386151,30094.242878700046,3145.0,9575.0,4.006462022893834,25.0191462049553,,,546.1771383158133,535.8235524934846,7473.731617379524,45084.62180360981,0.32845953002610967,1.0,5.113240304602641,5.264554318475349,,,0.0,0.0
STD-100_0_F8_1,2792.896575460333,2820.984077686766,29946.876310164298,30094.830735021074,30209.0,10526.0,60.35631739754393,18.10077682823424,,,520.0557742226407,546.6288918424784,174177.6209827247,59348.41692192134,1.0,0.34843920685888313,5.370378936057478,5.1606933328721425,,,0.0,0.0
STD-100_0_G8_1,2792.990586776165,2821.138305833285,29947.372783833725,30095.641080397945,48180.0,18328.0,51.97236555596891,17.46092520769598,,,501.0795183009309,514.1899629222232,289779.2876014295,112067.769131531,1.0,0.3804068078040681,5.573946818354671,5.4865682126510364,,,0.0,0.0
